#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
BTN1A1	PPL	9606.ENSP00000244513	9606.ENSP00000340510	0	0	0	0	0	0.292	0.700	0.562	0.898
C1QB	C3	9606.ENSP00000313967	9606.ENSP00000245907	0	0	0	0	0.108	0	0	0.445	0.483
C1QB	VWF	9606.ENSP00000313967	9606.ENSP00000261405	0	0	0	0	0.335	0.045	0	0.228	0.467
C1QB	TYROBP	9606.ENSP00000313967	9606.ENSP00000262629	0	0	0	0	0.544	0	0	0.689	0.852
C1QB	FCGR1B	9606.ENSP00000313967	9606.ENSP00000358391	0	0	0	0	0.288	0	0	0.299	0.480
C3	FGG	9606.ENSP00000245907	9606.ENSP00000336829	0	0	0	0	0.176	0	0	0.377	0.465
C3	PNOC	9606.ENSP00000245907	9606.ENSP00000301908	0	0	0	0	0	0	0.500	0	0.499
C3	FCGRT	9606.ENSP00000245907	9606.ENSP00000410798	0	0	0	0	0.068	0	0	0.561	0.573
C3	VWF	9606.ENSP00000245907	9606.ENSP00000261405	0	0	0	0	0.082	0	0	0.555	0.574
CABP7	S100A6	9606.ENSP00000216144	9606.ENSP00000357709	0	0	0	0	0	0.116	0	0.466	0.507
CAPN14	LRRC32	9606.ENSP00000385247	9606.ENSP00000384126	0	0	0	0	0	0.098	0	0.497	0.527
CARD16	GIMAP2	9606.ENSP00000364858	9606.ENSP00000223293	0	0	0	0	0.460	0	0	0.044	0.461
CARD16	PYCARD	9606.ENSP00000364858	9606.ENSP00000247470	0	0	0	0	0.189	0.094	0	0.667	0.734
CARD16	NLRP3	9606.ENSP00000364858	9606.ENSP00000337383	0	0	0	0	0.120	0.062	0	0.553	0.599
CARD16	CASP1	9606.ENSP00000364858	9606.ENSP00000433138	0	0	0.051	0.947	0.773	0.490	0.900	0.525	0.993
CARD6	CASP1	9606.ENSP00000254691	9606.ENSP00000433138	0	0	0	0	0.248	0.045	0	0.527	0.631
CARTPT	MC4R	9606.ENSP00000296777	9606.ENSP00000299766	0	0	0	0	0.107	0	0	0.718	0.737
CASP1	PYCARD	9606.ENSP00000433138	9606.ENSP00000247470	0	0	0	0	0.318	0.983	0.900	0.999	0.999
CASP1	TYROBP	9606.ENSP00000433138	9606.ENSP00000262629	0	0	0	0	0.282	0	0	0.248	0.437
CASP1	TRAT1	9606.ENSP00000433138	9606.ENSP00000295756	0	0	0	0	0.137	0	0	0.367	0.430
