"Gene symbol","GSM96454","GSM96455","GSM96456","GSM96457","GSM96458","GSM96459","GSM96461","GSM96462","GSM96463","GSM96464","GSM96466","GSM96467","GSM96468","GSM96469","GSM96470","GSM96471","GSM96472","GSM96473","GSM96474","GSM96475","GSM96476","GSM96477","GSM96478","GSM96479","GSM96480","GSM96481","GSM96482","GSM96483"
"TBCE",0.252445,1.120049,0.311233,0,0,0,0.122594,0.016014,0.009437,0.392372,0.110977,0,0.040391,0,0.599031,0,0.159213,0,0.689157,0.117474,0,0.336799,0.169677,0,0.005599,0,0.078623,0
"TBCK",1.363715,0.259006,0.874119,1.120705,1.538334,1.220163,1.26779,0.611465,1.295472,0.874046,0.773366,1.421196,0.825258,0.939609,1.193288,0.64897,0.93149,0.727604,1.498806,0.874003,0.957736,0.88174,0.316377,0.912799,0.777215,0.306338,1.442038,1.142672
"TBL2",0.555356,0.841196,0.411623,0.885815,0.395121,0.621169,0.089733,0.747832,0.638164,0.778831,0.679055,0.836065,0.526892,0.845815,0.843786,0.771123,0.18076,0.446885,0.691467,0.867508,0.148389,0.524192,0.847101,0.620895,0.996513,0.412479,0.786685,0.757579
"TBL3",0.132719333333333,0.200344,0.248213333333333,0.177288333333333,0.204882666666667,0.179656333333333,0.117677666666667,0.0862626666666667,0.100203666666667,0.109558666666667,0.184393333333333,0.0967073333333333,0.143133,0.0866576666666667,0.151916333333333,0.159752666666667,0.300231333333333,0.193118666666667,0.238325666666667,0.233488666666667,0.004934,0.284022666666667,0.222304666666667,0.190032333333333,0.066192,0.137540666666667,0.152972666666667,0.301222666666667
"TBPL1",0.158108,0.900376,0.430785,0,0.4145145,0.007264,0.1570675,0.006635,0.040306,0.0760885,0.0491265,0.316184,0.0805875,0,0.269417,0.8011365,0,0,0.0857125,0.486873,0,0.1661505,0.3041905,0.0889905,0.186089,0,0.293326,0.155298
"TBRG4",0.504564,0.480549333333333,0.759472,0.743348,0.907124666666667,0.670845,0.480109666666667,0.664276333333333,0.508932,0.723851333333333,0.848783,0.688227,0.501224333333333,0.528996333333333,0.643233666666667,1.109198,0.516007333333333,0.806711,0.664656666666667,1.05432266666667,1.28001833333333,0.548327666666667,0.583956666666667,0.477321666666667,0.552169333333333,0.54739,0.400662666666667,0.947514333333333
"TBX22",0,0,0,0,0,0,0,0,0.069087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TBXAS1",0.406275,0,0.083139,0.173376,0.459138,0.055552,0.245756,0,0.338194,0.128687,0.284468,0.100734,0.193504,0.425105,0,0.007337,0.719615,0.099824,0,0.173265,0.215428,0.291922,0.598166,0.28633,0.246778,1.45822,0,0.383879
"TCAF1",1.3339,0.074089,1.190464,1.591809,0.86584,1.000597,1.18314,0.990124,0.987461,1.545275,0.976436,0.758545,1.071783,1.281809,0.748542,0.91789,0.666175,0.4493,1.007265,0.74309,0.383115,0.975398,0.623994,1.401854,0.635706,1.015789,0.786716,0.824549
"TCAP",0.8228375,1.0113455,0.900293,0.694157,0.8754815,0.7881255,0.85874,1.002785,0.628009,0.8390975,1.2021275,0.7971515,0.9198905,0.745716,1.5776945,1.500436,1.213817,1.4249425,1.561209,1.2158035,1.040038,1.0101305,1.154497,1.269028,0.74686,1.3415645,1.0942145,0.8815725
"TCEA2",0.061861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.84817,0,0,0
"TCEAL1",0.167331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCEAL3",0.719549,0.142292,0.095101,0.134186,0.1116775,0.1503665,0,0.054903,0.114473,0,0.115127,0.033853,0.059903,0.2018995,0,0,0.0817345,0.3006105,0.2640735,0,0,0,0,0,0.02058,1.0231175,0,0.0913115
"TCEAL7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.835277,0,0,0,0,0,0,0
"TCEANC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCEB1",0,0,0,0,0,0,0,0.145227,0,0,0,0,0,0,0,0,0,0,0.298064,0,0,0,0,0,0,0.74119,0,0
"TCEB2",1.469856,0,1.365735,1.278236,1.471644,1.656706,1.142598,1.120095,1.320945,1.29485,0.931218,1.886876,1.37275,1.186091,0.310666,0.039643,0.993241,1.872075,1.114404,1.058074,0.690242,0.143672,0.68703,0.514115,0.846913,0.509481,0,0.722933
"TCEB3",4.919114,2.023728,5.154049,4.370738,4.575526,5.487694,6.859595,4.167852,4.472026,6.413641,6.554966,5.384024,6.340573,4.103813,4.566577,3.322052,2.765615,3.125803,2.401066,2.599197,3.179623,3.016431,2.586775,3.117168,2.569534,2.931334,1.364798,1.889023
"TCF19",2.098402,2.475969,4.579408,3.456814,2.126973,3.756968,3.603279,3.933735,4.048953,5.436644,4.276696,4.740754,4.235919,2.487593,3.41931,3.252599,2.88843,3.451028,3.144757,2.815976,3.763086,2.878622,3.326392,3.392653,3.106767,5.042307,3.865161,3.322223
"TCF25",0.378345666666667,0.253079,0.464188333333333,0.425559333333333,0.433820666666667,0.648658,0.492414333333333,0.476548333333333,0.398908,0.213672666666667,0.281406333333333,0.512759,0.519752333333333,0.346613666666667,0.0500876666666667,0.290673,0.062481,0.274009,0.151869333333333,0.113492333333333,0.292342333333333,0.370036,0.224569333333333,0.309973,0.205450666666667,0.0560146666666667,0.363865333333333,0.35282
"TCF3",0.2433,0,0.383968,0.162967,0.208327,0.200221,0.194715,0.533415,0.29531,0.149659,0.265295,0.134924,0.43159,0.53977,0.711099,0.28692,0,0.206759,0,0.242788,0,0.166862,0.333625,0.183593,0.261353,0.358246,0.131901,0.336679
"TCHP",1.598992,1.240387,0.877114,1.212253,0.985757,0.849429,1.301627,1.433109,1.12874,0.912501,1.419792,0.550715,1.030017,0.735171,0.891785,2.063843,2.63594,1.173976,2.232838,1.639008,1.982422,2.372398,1.728304,1.863525,1.626865,1.140689,2.803444,2.141082
"TCIRG1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.150164,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055804
"TCL1A",0.5182625,0.1704625,0.868765,0.57816,0.819517,0.348701,0.528211,0.659349,0.4878165,0.474757,0.447031,0.989213,0.4408815,1.1605935,1.6074775,0,0.025346,0.1678125,0.3749,0,0.2059375,0.1886695,0.3714045,0.0834155,0.3575515,0,0.208166,0.442005
"TCN1",1.158196,0.531742,0.181915,0.405624,0.305829,0.301962,0.424959,0.337961,0.385551,0.108332,0.508893,0.42863,0.215011,0.316117,0.357454,0.921554,0.567341,0.521294,0.422745,0.351824,0.776136,0.462571,0.329214,0.280346,0.462028,0.032204,0.689681,0.378689
"TCN2",0,0,0.0026635,0,0.657173,0,0,0,0,0,0,0.205677,0,0.0942415,0,0.0152,0,0,0,0,0,0,0,0,0,0.615386,0,0
"TCOF1",5.390406,11.818298,2.7949645,4.2813925,5.579974,4.5635045,3.9285895,6.0233945,2.870823,3.875136,5.271656,2.7549325,4.263305,4.0625125,8.044896,33.1046665,13.078043,4.210114,17.977756,12.13298,9.7893975,16.9493005,12.2479595,17.4067895,11.4776465,5.2115115,14.9058735,8.4956115
"TCP1",1.685217,0.710535,1.523437,1.68574,1.771757,0.854369,1.557449,0.567063,1.66219,1.472979,1.622833,1.1062,1.179102,1.102028,0.832009,0.915131,0.676597,0.752054,0,0.653327,0.472345,0.424414,1.115853,0.874521,0.703668,0.49808,0.863382,0.680889
"TCTA",1.437159,0.316351,3.607313,2.611992,4.607005,2.57735,4.447037,3.689792,6.730366,2.556593,3.399786,3.16534,3.268742,3.163912,1.306304,1.116073,0,0.3059,1.743894,3.477682,3.526097,1.823635,2.404487,1.616893,2.703014,0,4.584059,2.991817
"TCTN2",0.781654,7.594854,1.623255,2.308937,5.758621,6.149488,2.487523,4.287149,5.54391,4.477652,2.100483,7.044157,3.451151,4.549259,4.546489,3.698288,0.551219,3.389474,1.366846,2.900167,2.272472,2.803506,5.521976,3.506412,3.603504,4.831892,2.092271,6.999507
"TCTN3",0.127934,0.208388,0.462723,0.636676,0.79704,0.532146,0.785806,0.503949,0.514754,0.476365,0.84357,0.751143,0.65593,0.686871,2.277498,0,0.233703,0.049832,0.446751,0,0.151514,0,0,0.359136,0.583539,0,0,0.0308
"TDO2",0,0.073946,0.091256,0,0.216602,0.153834,0.053751,0.002133,0.203243,0,0.043889,0,0.051719,0,0,0,0,0,0,0,0.339972,0.136678,0.088025,0,0,0,0,0
"TDP1",0.4105735,0.5173295,0.4397305,0.6501745,0.9660865,0.732635,0.528273,0.8904095,1.0360025,1.017079,0.693054,0.6402385,0.729184,0.6203805,1.0446835,0.609543,0.823073,0.673953,0.561692,0.535893,1.157712,0.433398,0.7976255,0.438958,0.671789,0.658198,0.6346315,0.5054625
"TDP2",9.553434,1.56877,7.355884,5.691261,4.687657,6.430192,14.008147,5.325609,6.631351,4.693529,6.821897,5.79996,6.395072,7.448834,1.474487,0.124712,2.810174,1.116585,2.469776,2.728526,2.589146,2.353813,1.092515,2.624535,4.358125,1.608924,0.174128,4.080775
"TEAD2",1.216532,0.160154,1.076491,0.66788,0.617372,0.60379,0.469218,0.871627,0.4465,0.711782,0.898897,0.784574,0.842828,1.166016,0.515805,0.198341,0.260991,0.293944,0.124482,0.365888,0.429869,0.622751,0.082329,1.011246,0.549226,0.516594,0.524028,0.516134
"TEAD4",1.240874,0.828161,1.347848,1.103976,1.106224,1.457762,1.463694,1.920653,1.150534,1.778083,1.193103,1.334252,1.385092,1.164584,1.621771,1.7309,1.17861,1.056547,1.740718,0.926509,1.068058,1.526005,2.676178,0.996954,0.670598,1.696082,1.387614,1.305671
"TECPR1",0.25136,0,0.405068,0.402662,0.203877,0.029797,0.7561,0.932619,0.908962,0.017983,0.361031,0.637458,1.30794,0.432951,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TECR",3.03977925,1.44847625,1.87504175,1.213555,1.51261675,1.4024305,1.3406775,1.4029275,1.19005675,1.48101525,1.873632,1.174943,1.32814025,1.37033175,1.349821,1.1336825,2.97604525,2.671309,2.76583525,1.60592275,1.14941475,1.56154575,1.6123685,1.48205675,1.905319,1.89369875,1.68903675,1.89891225
"TEFM",5.763974,4.137836,4.741466,5.476349,3.285159,5.07322,3.585369,3.803807,4.512263,3.603668,4.491207,2.1629,4.128762,3.224934,3.427103,3.26789,7.504056,5.537404,4.699726,3.353798,3.712644,6.00489,6.623505,6.212416,7.204038,6.033477,7.678945,6.331188
"TELO2",1.543402,0.746883,0.694316,0.842247,0.518627,0.809933,0.923062,0.997472,0.763617,0.55372,0.91042,0.469072,0.351105,0.541846,1.516751,1.160428,3.211175,0.822132,4.650787,1.003239,1.10412,0.654637,1.193505,1.042562,1.364936,1.132041,1.594425,0.67332
"TERF2IP",1.3695085,3.560801,1.316373,1.212479,1.412749,1.429276,1.071494,1.1559195,1.25772,0.8638085,1.257239,1.269726,1.1284,1.176249,1.902425,2.0187635,2.1499945,1.8002485,2.238602,2.183063,2.8425365,1.400169,1.440398,1.7567385,2.0203275,2.035099,1.9584475,2.025
"TES",0,0,0,0,0,0,0.072209,0,0.110185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TESC",0.61816,0.061779,0.499313,0.439468,0.282739,0.535307,0.610883,0.093372,0.48073,0.403734,0.46556,0.36886,0.491507,0.407534,0.368242,0.140869,1.271803,1.118283,0.821697,0.166408,0.344614,0.488549,0.229166,0.172713,0.422553,0,0.144833,0.456774
"TEX101",0,4.143889,0,0,0,0.315155,0.107607,0,0.100929,0,0.139556,0,0.023746,0,0.893257,0.9033,0.330595,2.267465,0.11173,0.668515,0,0.82815,0.9444,0.335881,1.397154,1.595839,1.051886,0.218
"TEX264",7.394835,1.273691,4.748772,5.240367,5.035169,2.49867,5.015015,7.147889,7.200086,4.02813,6.801917,6.042038,5.510866,6.786163,4.952701,3.10059,3.332231,3.575062,2.826225,5.993918,3.253074,5.674701,4.690336,7.394555,5.529958,0.787046,3.86102,5.619716
